ET_m,r_BH,r_BK,RMSE_BH,RMSE_BK,BIAS_BH,BIAS_BK
GLEAM,0.9615384615384615,0.967032967032967,215.37117920178926,83.95589611401746,-36.98000000000002,13.92999999999995
MEAN,0.9560439560439561,0.9615384615384615,287.3095709268207,116.3197982685268,-114.02999999999997,-60.5
MODIS16,0.9560439560439561,0.9615384615384615,232.8118122498876,186.1798131253349,124.88,193.45000000000005
SSEBop,0.7637362637362637,0.7692307692307693,411.3890891657378,287.12838858386897,-326.94,-233.7299999999999
TerraClimate,0.9725274725274725,0.9780219780219779,355.1430303521277,141.36152003340177,-126.68000000000006,-94.50999999999999
Zhang,0.8406593406593407,0.8516483516483516,400.20156797255595,365.5027512155741,323.85999999999996,354.15000000000003
