,PE/P,Observado (AE/P),Proyectado_5,Proyectado_50,Proyectado_95,Error
Peru,1.0325142273997583,0.6667280200557635,0.5045296791435248,0.658603763355204,0.8097582864619204,1.2185263640007213
Pacífico,3.6722236672533204,0.8219824165170466,0.719975775102585,0.8238375882524929,0.9506271537206954,-0.22569482000686752
Amazonas,0.8045313242350443,0.5962963019436156,0.4982004696409248,0.603578616070833,0.7183545408152089,-1.2212576370976653
Titicaca,1.9319324485577338,0.747140269812955,0.6028614585243202,0.7263851840567925,0.8112252352073741,2.7779369677608816
